backdrop_path,belongs_to_collection,budget,genres,id,origin_country,original_language,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,The Avengers Collection,356000000,,299534,['US'],en,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",22.6136,/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,Marvel Studios,United States of America,2019-04-24,2799439100,181,English|日本語|,Released,Avenge the fallen.,Avengers: Endgame,8.238,26202
/vL5LR6WdxWPjLPFRLe133jXWsh5.jpg,Avatar Collection,237000000,,19995,['US'],en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",33.5372,/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,Dune Entertainment|Lightstorm Entertainment|20th Century Fox|Ingenious Media,United States of America|United Kingdom,2009-12-15,2923706026,162,English|Español,Released,Enter the world of Pandora.,Avatar,7.587,32106
/k6EOrckWFuz7I4z4wiRwz8zsj4H.jpg,Star Wars Collection,245000000,,140607,['US'],en,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",13.3565,/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg,Lucasfilm Ltd.|Bad Robot,United States of America,2015-12-15,2068223624,136,English,Released,Every generation has a story.,Star Wars: The Force Awakens,7.262,19662
/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,The Avengers Collection,300000000,,299536,['US'],en,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",35.5559,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,Marvel Studios,United States of America,2018-04-25,2052415039,149,English|,Released,Destiny arrives all the same.,Avengers: Infinity War,8.236,30381
/sCzcYW9h55WcesOqA12cgEr9Exw.jpg,,200000000,,597,['US'],en,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",32.0193,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,Paramount Pictures|20th Century Fox|Lightstorm Entertainment,United States of America,1997-11-18,2264162353,194,English|Français|Deutsch|svenska|Italiano|Pусский,Released,Nothing on Earth could come between them.,Titanic,7.905,25862
/aIGIYJTyOkEVUmEd3z5x6diYsFx.jpg,Jurassic Park Collection,150000000,,135397,['US'],en,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",16.0248,/rhr4y79GpxQF9IsfJItRXVaoGs4.jpg,Amblin Entertainment|Universal Pictures,United States of America,2015-06-06,1671537444,124,English,Released,The park is open.,Jurassic World,6.692,20620
/1TUg5pO1VZ4B0Q1amk3OlXvlpXV.jpg,The Lion King (Reboot) Collection,260000000,,420818,['US'],en,"Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother—and former heir to the throne—has plans of his own. The battle for Pride Rock is ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. With help from a curious pair of newfound friends, Simba will have to figure out how to grow up and take back what is rightfully his.",22.6761,/dzBtMocZuJbjLOXvrl4zGYigDzh.jpg,Walt Disney Pictures|Fairview Entertainment,United States of America,2019-07-12,1662020819,118,English,Released,The king has returned.,The Lion King,7.11,10299
/9BBTo63ANSmhC4e6r62OJFuK2GL.jpg,The Avengers Collection,220000000,,24428,['US'],en,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",35.3602,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,Marvel Studios,United States of America,2012-04-25,1518815515,143,English|हिन्दी|Pусский,Released,Some assembly required.,The Avengers,7.734,31500
/cHkhb5A4gQRK6zs6Pv7zorHs8Nk.jpg,The Fast and the Furious Collection,190000000,,168259,['US'],en,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,14.8135,/wurKlC3VKUgcfsn0K51MJYEleS2.jpg,Original Film|One Race|Universal Pictures,United States of America,2015-04-01,1515400000,137,العربية|English|Español|ภาษาไทย,Released,Vengeance hits home.,Furious 7,7.2,10758
/6YwkGolwdOMNpbTOmLjoehlVWs5.jpg,The Avengers Collection,365000000,,99861,['US'],en,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",18.1649,/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,Marvel Studios,United States of America,2015-04-22,1405403694,141,English,Released,A new age has come.,Avengers: Age of Ultron,7.271,23342
/b6ZJZHUdMEFECvGiDpJjlfUWela.jpg,Black Panther Collection,200000000,,284054,['US'],en,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",18.019,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,Marvel Studios,United States of America,2018-02-13,1349926083,135,English|한국어/조선말|Kiswahili|,Released,Long live the king.,Black Panther,7.373,22485
/n5A7brJCjejceZmHyujwUTVgQNC.jpg,Harry Potter Collection,125000000,,12445,['GB'],en,"Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",20.1665,/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,Warner Bros. Pictures|Heyday Films,United Kingdom|United States of America,2011-07-12,1341511219,130,English,Released,It all ends.,Harry Potter and the Deathly Hallows: Part 2,8.087,20933
/5Iw7zQTHVRBOYpA0V6z0yypOPZh.jpg,Star Wars Collection,200000000,,181808,['US'],en,"Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares to do battle with the First Order.",14.4999,/kOVEVeg59E0wsnXmF9nrh6OmWII.jpg,Lucasfilm Ltd.,United States of America,2017-12-13,1332698830,152,English,Released,Darkness rises...and light to meet it.,Star Wars: The Last Jedi,6.78,15529
/AoSZyb37ljMAxw0RdeQEBHKtgcc.jpg,Frozen Collection,150000000,,330457,['US'],en,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",12.0815,/mINJaa34MtknCYl5AjtNJzWj8cD.jpg,Walt Disney Pictures|Walt Disney Animation Studios,United States of America,2019-11-20,1453683476,103,English,Released,The past is not what it seems.,Frozen II,7.25,9866
/6WA9stUMbIkEPxn3D5SWlA8FIi7.jpg,Jurassic Park Collection,170000000,,351286,['US'],en,"Three years after Jurassic World was destroyed, Isla Nublar now sits abandoned. When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event.",15.4014,/270MrJNqJovumHXGE6SSt0zwUIF.jpg,Amblin Entertainment|Universal Pictures,United States of America,2018-06-06,1310466296,129,English|Pусский,Released,The park is gone.,Jurassic World: Fallen Kingdom,6.538,12003
/u2bZhH3nTf0So0UIC1QxAqBvC07.jpg,Frozen Collection,150000000,,109445,['US'],en,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",22.1561,/mmWheq3cFI4tYrZDiATOkCNTqgK.jpg,Walt Disney Pictures|Walt Disney Animation Studios,United States of America,2013-11-20,1274219009,102,English,Released,Only the act of true love will thaw a frozen heart.,Frozen,7.246,16777
/uU1Mt4JWhDvl4vKb3AfxNsorkoM.jpg,,160000000,,321612,['US'],en,A live-action adaptation of Disney's version of the classic tale of a cursed prince and a beautiful young woman who helps him break the spell.,18.0915,/hKegSKIDep2ewJWPUQD7u0KqFIp.jpg,Walt Disney Pictures|Mandeville Films,United States of America,2017-03-16,1266115964,129,English|Français,Released,Be our guest.,Beauty and the Beast,7.0,15582
/mabuNsGJgRuCTuGqjFkWe1xdu19.jpg,The Incredibles Collection,200000000,,260513,['US'],en,"Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children.",10.8758,/9lFKBtaVIhP7E2Pk0IY1CwTKTMZ.jpg,Walt Disney Pictures|Pixar,United States of America,2018-06-14,1242805359,118,English,Released,"It's been too long, dahlings.",Incredibles 2,7.454,13021
